class_id,class_name,class_code
1,"Growing of cereals (except rice and corn), leguminous crops and oil seeds",A0111
2,Growing of paddy rice,A0112
3,"Growing of corn, expcept young corn (vegetable)",A0113
4,Growing of sugarcane including muscovado sugar-making in the farm,A0114
5,Growing of tobacco,A0115
6,Growing of fiber crops,A0116
7,Growing of leafy and fruit bearing vegetables,A0117
8,"Growing of other vegetables, melons, roots and tubers",A0118
9,Growing of other non-perennial crops,A0119
10,Growing of banana,A0121
11,Growing of pineapple,A0122
12,Growing of citrus fruits,A0123
13,Growing of mango,A0124
14,Growing of papaya,A0125
15,"Growing of coconut, including copra-making, tuba gathering and coco-shell charcoal making in the farm",A0126
16,Growing of beverage crops,A0127
17,"Growing of spices, aromatic,drug and pharmaceutical crops",A0128
18,Growing of other fruits and perennial crops,A0129
19,Plant propagation,A0130
20,Raising of cattle and buffaloes,A0141
21,Raising of horses and other equines,A0142
22,Dairy farming,A0143
23,Raising of sheeps and goats,A0144
24,Deer farming,A0145
25,Chicken production (including operation chicken hatcheries),A0146
26,Raising of poultry (except chicken),A0147
27,Egg production,A0148
28,Raising of other animals,A0149
29,Operation of irrigation systems through cooperatives and non-cooperatives,A0151
30,"Planting, transplanting and other related activities",A0152
31,"Services to establish crops, promote their growth and protect them from pests and diseases",A0153
32,"Harvesting, threshing, grading, bailing and related services",A0154
33,Rental of farm machinery with drivers and crew,A0155
34,Support activities for animal production,A0156
35,Post-harvest crop activities,A0157
36,Seed processing for propagation,A0158
37,"Hunting, trapping and related service activities",A0170
38,"Growing of timber forest species (e.g. Gemelina, Eucalyptus, etc.), planting, replanting, transplanting, thinning and conserving of forest and timber tracts",A0211
39,Operation of forest tree nurseries,A0212
40,Logging,A0220
41,Gathering of non-wood forest products,A0230
42,Support services to forestry,A0240
43,Marine fishing,A0311
44,Freshwater fishing,A0312
45,"Operation of freshwater fish pond, fish pens, cage and hatcheries",A0321
46,"Operation of marine or sea water fish tanks, pens, cage and hatcheries",A0322
47,Operation of marine sport fishing preserves,A0323
48,Prawn culture in brackish water,A0324
49,"Culture of mollusks, bivalves and other crustaceans (except prawn culture)",A0325
50,Pearl culture and pearl shell gathering,A0326
51,Gathering of laver and other edible seaweeds,A0327
52,Support service activities incidental to aquaculture,A0328
53,Other aquaculture activities,A0329
54,Mining of hard coal,B0510
55,Mining of lignite,B0520
56,Extraction of crude petroleum,B0610
57,Extraction of natural gas,B0620
58,Mining of iron ores,B0710
59,Mining of uranium and thorium ores,B0721
60,Mining of precious metals,B0722
61,Mining of other non-ferrous metal ores,B0729
62,"Quarrying of stone, sand and clay",B0810
63,Mining of chemical and fertilizer minerals,B0891
64,Extraction of peat,B0892
65,Extraction of salt,B0893
66,"Other mining and quarrying, n.e.c.",B0899
67,Support activities for petroleum and gas extraction,B0910
68,Support activities for other mining and quarrying,B0990
69,Slaughtering and meat packing,C1011
70,Production processing and preserving of meat and meat products,C1012
71,"Processing and preserving of fish, crustaceans and mollusks",C1020
72,Processing and preserving of fruits and vegetables,C1030
73,Manufacture of virgin coconut oil,C1041
74,Manufacture of dessicated coconut,C1042
75,Manufacture of nata de coco,C1043
76,"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",C1044
77,Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine,C1045
78,Manufacture of fish oil and other marine animal oils,C1046
79,"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",C1047
80,"Manufacture of vegetable and animal oil and fats, n.e.c.",C1049
81,Processing of fresh milk and cream,C1051
82,"Manufacture of powdered milk (except for infants) and condensed or evaporated milk (filled, combined or reconstituted)",C1052
83,Manufacture of infants' powdered milk,C1053
84,"Manufacture of butter, cheese and curd",C1054
85,"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",C1055
86,Manufacture of milk-based infants' and dietetic foods,C1056
87,Manufacture of yoghurt,C1057
88,Manufacture of whey,C1058
89,"Manufacture of dairy products, n.e.c.",C1059
90,Rice/corn milling,C1061
91,Manufacture of grain and vegetable mill products except rice and corn,C1062
92,Manufacture of starches and starch products,C1063
93,Manufacture of bakery products,C1071
94,Manufacture of sugar,C1072
95,"Manufacture of cocoa, chocolate and sugar confectionery",C1073
96,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",C1074
97,Manufactured of prepared meals and dishes,C1075
98,Manufacture of food supplements from herbs and other plants,C1076
99,Coffee roasting and processing,C1077
100,"Manufacture of other food products, n.e.c.",C1079
101,Manufacture of prepared animal feeds,C1080
102,"Distilling, rectifying and blending of spirits",C1101
103,Manufacture of wines,C1102
104,Manufacture of malt liquors and malt,C1103
105,Manufacture of softdrinks,C1104
106,Manufacture of drinking water and mineral water,C1105
107,Manufacture of sports and energy drink,C1106
108,"Manufacture of other beverages, n.e.c.",C1109
109,Manufacture of cigarettes,C1201
110,Manufacture of cigars,C1202
111,"Manufacture of chewing and smoking tobacco, snuff",C1203
112,Curing and redrying tobacco leaves,C1204
113,"Tobacco manufacturing, n.e.c.",C1209
114,Preparation and spinning of textile fibers,C1311
115,Weaving of textiles,C1312
116,Finishing of textiles,C1313
117,Preparation and finishing of textiles (integrated),C1314
118,Manufacture of knitted and crocheted fabrics,C1391
119,"Manufacture of made-up textile articles, except wearing apparel",C1392
120,Manufacture of carpet and rugs,C1393
121,"Manufacture of cordage, rope, twine and netting",C1394
122,Manufacture of embroidered fabrics,C1395
123,"Manufacture of other textiles, n.e.c.",C1399
