group_id,group_name,group_code
1,Growing of non-perrenial crops,A011
2,Growing of perennial crops,A012
3,Plant propagation,A013
4,Animal production,A014
5,Support activities to agriculture and post-harvest crop activities,A015
6,"Hunting, trapping and related service activities",A017
7,Silviculture and other forestry activities,A021
8,Logging,A022
9,Gathering of non-wood forest products,A023
10,Support services to forestry,A024
11,Fishing,A031
12,Aquaculture,A032
13,Mining of hard coal,B051
14,Mining of lignite,B052
15,Extraction of crude petroleum,B061
16,Extraction of natural gas,B062
17,Mining of iron ores,B071
18,Mining of non-ferrous metal ores except precious metals,B072
19,"Quarrying of stone, sand and clay",B081
20,"Mining and quarrying, n.e.c.",B089
21,Support activities for petroleum and gas extraction,B091
22,Support activities for other mining and quarrying,B099
23,Processing and preserving of meat,C101
24,"Processing and preserving of fish, crustaceans and mollusks",C102
25,Processing and preserving of fruits and vegetables,C103
26,Manufacture of vegetable and animal oils and fats,C104
27,Manufacture of dairy products,C105
28,"Manufacture of grain mill products, starches and starch products",C106
29,Manufacture of other food products,C107
30,Manufacture of prepared animal feeds,C108
31,Manufacture of beverages,C110
32,Manufacture of tobacco products,C120
33,"Spinning, weaving and finishing of textiles",C131
34,Manufacture of other textiles,C139
35,"Manufacture of wearing apparel, except fur apparel",C141
36,Custom tailoring and dressmaking,C142
37,Manufacture of knitted and crocheted apparel,C143
38,Manufacture of articles of fur,C144
39,Tanning and dressing of leather; manufacture of luggage and handbags,C151
40,Manufacture of footwear,C152
41,Sawmilling and planing of wood,C161
42,"Manufacture of products of wood, cork, straw and plaiting materials",C162
43,Manufacture of paper and paper products,C170
44,Printing and service activities related to printing,C181
45,Reproduction of recorded media,C182
46,Manufacture of coke oven products,C191
47,Manufacture of refined petroleum products,C192
48,Manufacture of other fuel products,C199
49,Manufacture of basic chemicals,C201
50,"Manufacture of other chemical products, n.e.c.",C202
51,Manufacture of man-made fibers,C203
52,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",C210
53,Manufacture of rubber products,C221
54,Manufacture of plastics products,C222
55,Manufacture of glass and glass products,C231
56,"Manufacture of non-metallic mineral products, n.e.c.",C239
57,Manufacture of basic iron and steel,C241
58,Manufacture of basic precious and other non-ferrous metals,C242
59,Casting of metals,C243
60,"Manufacture of structural metal products, tanks, reservoirs and steam generators",C251
61,Manufacture of weapons and ammunition,C252
62,Manufacture of other fabricated metal products; metal working service activities,C259
63,Manufacture of electronic components,C261
64,Manufacture of computers and peripheral equipment and accessories,C262
65,Manufacture of communication equipment,C263
66,Manufacture of consumer electronics,C264
67,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",C265
68,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",C266
69,Manufacture of optical instruments and photographic equipment,C267
70,Manufacture of magnetic and optical media,C268
71,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",C271
72,Manufacture of batteries and accumulators,C272
73,Manufacture of wiring and wiring devices,C273
74,Manufacture of electric lighting equipment,C274
75,Manufacture of domestic appliances,C275
76,Manufacture of other electrical equipment,C279
77,Manufacture of general purpose machinery,C281
78,Manufacture of special purpose machinery,C282
79,Manufacture of motor vehicles,C291
80,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,C292
81,Manufacture of parts and accessories for motor vehicles,C293
82,Building of ships and boats,C301
83,Manufacture of railway locomotive and rolling stock,C302
84,Manufacture of air and spacecraft and related machinery,C303
85,Manufacture of air and spacecraft and related machinery,C304
86,"Manufacture of transport equipment, n.e.c.",C309
87,Manufacture of furniture,C310
88,"Manufacture of jewelry, bijouterie and related articles",C321
89,Manufacture of musical instruments,C322
90,Manufacture of sports goods,C323
91,Manufacture of games and toys,C324
92,Manufacture of medical and dental instruments and supplies,C325
93,"Other manufacturing, n.e.c.",C329
94,"Repair of fabricated metal products, machinery and equipment",C331
95,Installation of industrial machinery and equipment,C332
96,"Electric power generation, transmission and distribution",D351
97,Manufacture of gas; distribution of gaseous fuels through mains,D352
